Name,Member Since,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30,2024-07-07,2024-07-14,2024-07-21,2024-07-28,2024-08-04,2024-08-11,2024-08-18,2024-08-25,2024-09-01,2024-09-08,2024-09-15,2024-09-18,2021-42-14,2021-42-13,2024-42-14,2024-09-19,2024-09-25,20121
GradedPeanut,"March 28, 2021",16967,16828,,16681,17968,15624,17342,17980,17107,16901,17193,17580,17630,18428,17904,18031,19634,19113,19648,18896,19431,19805,19623,18819,18629,18630,20350,16420,18467,17679,18824,22918,23231,20600,19668,20912,18763,25947,28104,27502,29176,32355,33127,34655,34873,35712,,34450,34410,34552,38472,38126,36936,40451,42143,38290,40130,38171,40236,41405,42509,40491,44071,41723,43000,40086,41631,40584,44032,50144,52291,54690,57154,54711,58219,53974,64115,66272,65680,,,,,,,
dìssatisfied,"Apr 19, 2021",3771,,3107,,3626,,1380,,2939,3930,,4198,,3578,4130,5504,5056,5313,5273,6740,7406,,3009,,6236,,6886,,,,,7063,7553,7844,8123,8663,9809,13453,14859,15432,,16584,17475,18013,20675,19865,,16650,16364,16528,17405,,18175,18207,18919,17993,17479,18748,16719,15974,17515,,,18337,19790,21018,21653,19577,19237,22455,23401,23462,,22918,24888,21224,21224,123,,,,,,,,
dánnis,"April 22, 2021",20199,18695,20877,20181,19477,19663,20412,18381,21591,22791,21698,23518,25589,27312,25462,26068,28803,27826,28519,28221,27293,27976,26920,30767,26192,27652,26412,24161,23441,,25570,26254,29796,23886,28011,26267,26408,42251,43229,46819,50476,45230,45403,51219,52780,53473,58379,54887,55211,57651,57726,58074,61019,62469,65135,65132,68012,67791,73103,75612,84322,86142,87271,91134,91142,84097,84144,88583,87962,91486,97341,97401,94358,89726,100318,96627,96627,,,,,,,,,
Kyeranized,"June 29, 2021",6904,5110,7325,6909,6635,6987,9049,9543,10190,9997,10561,10504,9998,9107,9759,10745,10453,10319,11058,9999,10337,11230,10888,10823,10708,10299,9618,10895,10862,10422,11478,11773,11446,10893,11120,12133,13744,16278,17145,17100,15156,19208,19899,21193,21471,22552,20067,18814,19513,19784,21519,20766,23185,22560,22006,22886,22803,22217,21575,23158,23355,23545,23610,21578,23449,20707,19837,19232,21370,22651,23928,20560,21948,21559,23533,21243,,,,,,,,,,
Chasí,"June 29, 2021",12384,13096,12713,12246,12727,12597,,10137,10759,,11222,,13533,14072,12951,13568,13035,13514,12588,13220,15357,13514,13945,15102,15789,16005,15728,16559,16019,16533,16287,17956,14913,15622,12051,16281,20886,23422,23406,26130,25362,29155,25253,27833,26957,25128,26168,24757,27723,24658,22736,27631,,,26407,26905,31662,31916,31249,30449,31056,30210,30807,34114,32756,31138,32628,33168,33896,33805,39355,39535,39224,39914,42567,42189,42189,,,,,,,,,
HoSad,"May 3, 2022",10028,11603,11355,10858,,9573,11167,10907,12653,12068,13348,13200,13567,13308,12986,13772,14186,13200,10876,13762,12759,14256,15081,15382,15066,16800,17322,16261,16841,16609,16618,18515,15699,16415,17752,18771,24382,27397,28098,29184,30862,26449,32635,34180,35665,38909,38977,31110,34568,38042,36043,37714,37213,37721,39310,41427,42003,44575,43020,45591,46941,50070,54898,56423,57344,52583,51439,54227,53016,56826,57245,60790,58367,59903,62004,57589,57589,,,,,,,,,
MonkOfDaDeep,"May 4, 2022",3173,3311,3372,3288,3332,3410,3436,4223,4291,5405,5373,5975,5858,5397,5477,6441,6704,6697,7099,7299,6970,,6288,6679,7101,6957,7004,,7178,6972,7037,7512,6712,,7018,7411,9146,10171,10383,10314,10516,10688,10852,12467,218,13199,12517,11005,,14918,14883,14465,16515,16851,17340,18081,18394,20230,21015,23027,23552,23807,23865,23985,24296,23662,22873,26300,24884,27657,27964,30005,29968,31512,29257,30273,30273,31008,,,,,,,,
Bojji,"May 12, 2022",8482,9356,8776,8319,,,10072,,12086,12487,10862,13444,14340,13081,9369,10778,12485,14842,10866,11047,15294,12738,14738,,14682,13938,15159,13240,15836,15849,12470,18077,18802,17402,12078,18042,21855,31795,31688,26531,33801,28241,27275,30614,35181,34633,40869,30668,28266,26606,33409,30865,34732,35526,34941,25050,36832,36446,41280,39945,42223,37480,37391,43360,38931,38671,48084,41417,45511,42021,38639,47803,47809,52757,51216,39079,,,,,,,,,,
Ainà,"May 25, 2022",1816,1782,1890,1784,1547,1921,1781,1940,2067,1776,1483,2121,,2201,2314,2473,2486,2675,2772,3305,3481,3915,,3609,3436,3694,3672,3396,3557,3245,,4197,3830,3797,4130,4562,5208,5075,5892,5978,,6454,6925,7767,7069,7014,,5421,7516,7512,8133,7308,7467,7309,7898,10104,8726,10503,11769,12265,13244,14302,14771,,14244,14056,13326,14911,14323,17451,15522,17454,18171,18662,18759,18261,,,,,,,,,,
eGirI,"May 29, 2022",18410,19963,20190,20740,20395,19442,17428,18848,19330,20277,19900,22088,19892,20082,19825,20449,20520,19948,21292,20821,21725,21524,19504,24251,20177,21225,21455,22191,21409,21117,20068,25309,28776,24520,22180,25833,30010,28552,32438,34706,36926,37564,37097,35776,39766,41531,41936,39501,37141,42247,41191,46276,46064,48664,44962,47528,45951,46225,53337,55161,58577,59491,61626,61299,58185,56796,58914,57422,59774,62531,66363,71428,72327,73185,75808,73308,73308,,69345,,,,,,,
